"Year","ID","Name","Number","Margin of Error","Pct","Pct Margin of Error","Number","Margin of Error"
"2023","56000","Wyoming","61,614","4,145","13.3","0.9","462,387","0"
"2023","01000","Alabama","411,580","13,608","10.2","0.3","4,025,340","0"
"2023","02000","Alaska","76,396","4,037","12.6","0.7","605,484","0"
"2023","04000","Arizona","723,083","20,158","12.4","0.3","5,829,783","0"
"2023","05000","Arkansas","260,444","10,365","10.7","0.4","2,441,787","0"
"2023","06000","California","2,397,724","40,592","7.5","0.1","32,104,842","0"
"2023","08000","Colorado","386,417","14,300","7.9","0.3","4,867,105","0"
"2023","09000","Connecticut","188,384","9,741","6.6","0.3","2,852,488","0"
"2023","10000","Delaware","61,173","4,704","7.7","0.6","789,535","0"
"2023","11000","District of Columbia","17,853","2,735","3.2","0.5","556,205","0"
"2023","12000","Florida","2,308,858","40,592","13.4","0.2","17,276,949","0"
"2023","13000","Georgia","1,195,416","25,898","13.3","0.3","9,012,394","0"
"2023","15000","Hawaii","46,117","3,741","3.9","0.3","1,187,669","0"
"2023","16000","Idaho","172,983","8,002","10.9","0.5","1,592,148","0"
"2023","17000","Illinois","739,285","19,797","7.3","0.2","10,114,894","0"
"2023","18000","Indiana","452,967","15,127","8.2","0.3","5,547,662","0"
"2023","19000","Iowa","150,524","7,053","5.9","0.3","2,552,360","0"
"2023","20000","Kansas","233,848","9,151","9.8","0.4","2,374,633","0"
"2023","21000","Kentucky","232,072","10,219","6.4","0.3","3,633,986","0"
"2023","22000","Louisiana","300,702","12,492","8.3","0.3","3,633,191","0"
"2023","23000","Maine","81,479","5,023","7.8","0.5","1,050,696","0"
"2023","24000","Maryland","355,940","13,613","7.1","0.3","4,982,615","0"
"2023","25000","Massachusetts","167,302","9,552","3.0","0.2","5,536,083","0"
"2023","26000","Michigan","435,242","13,937","5.5","0.2","7,961,158","0"
"2023","27000","Minnesota","236,406","8,632","5.1","0.2","4,637,854","0"
"2023","28000","Mississippi","287,015","11,694","12.5","0.5","2,304,488","0"
"2023","29000","Missouri","447,348","14,196","9.0","0.3","4,944,306","0"
"2023","30000","Montana","92,859","5,247","10.6","0.6","878,120","0"
"2023","31000","Nebraska","116,323","5,966","7.2","0.4","1,608,273","0"
"2023","32000","Nevada","335,846","12,894","12.8","0.5","2,618,935","0"
"2023","33000","New Hampshire","65,079","5,058","6.0","0.5","1,087,560","0"
"2023","34000","New Jersey","635,047","18,484","8.5","0.2","7,493,494","0"
"2023","35000","New Mexico","190,468","8,851","11.7","0.5","1,623,085","0"
"2023","36000","New York","895,540","23,400","5.8","0.2","15,497,430","0"
"2023","37000","North Carolina","958,197","22,741","11.1","0.3","8,636,817","0"
